"period","age","industry","u_m","u_w","s_m","s_w","composition","within","total_contrib"
"Pre-COVID (2017-2019)","15 to 24 years","Unclassified industries",100,100,0.00682850501872924,0.00594984534072848,0.0878659678000763,0,0.0878659678000763
"Pre-COVID (2017-2019)","25 to 54 years","Manufacturing",2.850095566908,4.02241875931838,0.0828047389465491,0.0379231223973682,0.154224776359222,-0.0707660359117893,0.0834587404474331
"Pre-COVID (2017-2019)","25 to 54 years","Transportation and warehousing",2.85105586506067,3.31364773558895,0.0479961149072204,0.0173936545442651,0.0943275487941241,-0.015124387881988,0.0792031609121361
"Pre-COVID (2017-2019)","15 to 24 years","Manufacturing",8.39013481841443,6.28998634174394,0.0122880855481365,0.00411803067490293,0.059968697712106,0.0172276399969477,0.0771963377090537
"Pre-COVID (2017-2019)","15 to 24 years","Business, building and other support services",13.0606228118666,7.8864109885022,0.00716961320551068,0.00383621303400669,0.0349124230313246,0.0284732381272024,0.0633856611585271
"Pre-COVID (2017-2019)","25 to 54 years","Business, building and other support services",6.81353622530093,5.15511335439437,0.0267573082627183,0.0244568571826939,0.0137666464260218,0.042467371644532,0.0562340180705537
"Pre-COVID (2017-2019)","55 years and over","Manufacturing",3.35716769722724,4.05649255347304,0.0311507605708529,0.0123037674459773,0.0698626018875557,-0.0151944157792994,0.0546681861082563
"Pre-COVID (2017-2019)","55 years and over","Unclassified industries",100,100,0.00445158073655588,0.00391850852157933,0.0533072214976557,0,0.0533072214976557
"Pre-COVID (2017-2019)","55 years and over","Transportation and warehousing",3.43675357015805,3.32881093129179,0.0207962379281126,0.00610940385800062,0.0496823616117168,0.0014521329873917,0.0511344945991085
"Pre-COVID (2017-2019)","55 years and over","Forestry, fishing, mining, quarrying, oil and gas",9.11840382792398,3.07734959800388,0.00585326852189711,0.00106776914990834,0.0291813851803539,0.0209051819513483,0.0500865671317022
"Pre-COVID (2017-2019)","15 to 24 years","Transportation and warehousing",7.06559491912275,3.22085889570552,0.00532509248365072,0.0017370860470369,0.0184539312487673,0.0135761061003692,0.0320300373491365
"Pre-COVID (2017-2019)","15 to 24 years","Forestry, fishing, mining, quarrying, oil and gas",12.8600699047849,5.98540145985401,0.00219223441187109,0.000405556899188916,0.0168353899515481,0.00892947697632989,0.025764866927878
"Pre-COVID (2017-2019)","25 to 54 years","Professional, scientific and technical services",2.75129828555168,2.8694867165334,0.0594262776958842,0.0504986425684955,0.0250901588140574,-0.00649592692591886,0.0185942318881385
"Pre-COVID (2017-2019)","55 years and over","Information, culture and recreation",5.92128930138859,4.5943653167835,0.00734479115116219,0.00663011523440449,0.00375764255227473,0.00927181923280963,0.0130294617850844
"Pre-COVID (2017-2019)","15 to 24 years","Professional, scientific and technical services",5.81322544911622,3.37490829053558,0.00548600254232608,0.0056487859491408,-0.000747837856204867,0.0135750729179549,0.0128272350617501
"Pre-COVID (2017-2019)","15 to 24 years","Information, culture and recreation",9.71249026804582,7.57259442019358,0.00950241272610968,0.0109183613961933,-0.0122373963382974,0.0218491648771223,0.00961176853882483
"Pre-COVID (2017-2019)","55 years and over","Business, building and other support services",4.76679457385289,4.1043588927776,0.00977773010072336,0.0093041265266479,0.00210070499398402,0.00632025134556684,0.00842095633955086
"Pre-COVID (2017-2019)","55 years and over","Professional, scientific and technical services",2.25263342184354,2.42822760873302,0.0181101760947895,0.0137759093873397,0.0101440500635136,-0.0027995056266615,0.00734454443685209
"Pre-COVID (2017-2019)","25 to 54 years","Information, culture and recreation",4.18552154420141,4.33175404800333,0.0252824315015921,0.0227431572634205,0.0108138492453466,-0.00351145104583471,0.00730239819951194
"Pre-COVID (2017-2019)","15 to 24 years","Agriculture",5.42564007764119,6.48259303721489,0.0028585975776827,0.00147954261470526,0.0082110539886673,-0.00229260505769503,0.00591844893097227
"Pre-COVID (2017-2019)","25 to 54 years","Utilities",0.882481115630447,0.889661519582779,0.00727556547731498,0.00289484738479446,0.00388162865230279,-3.65138363559688e-05,0.00384511481594682
"Pre-COVID (2017-2019)","25 to 54 years","Agriculture",3.05277433130392,5.35534274193548,0.00915707701726124,0.00469853949191713,0.0187439527442622,-0.0159517524419296,0.00279220030233253
"Pre-COVID (2017-2019)","15 to 24 years","Public administration",6.44174538911381,5.50851678454029,0.00293680673592229,0.00297181438756024,-0.000209175307578742,0.0027570471230106,0.00254787181543186
"Pre-COVID (2017-2019)","55 years and over","Wholesale and retail trade",2.88864566865297,3.01249649653519,0.032590231834668,0.0306296108045094,0.00578495171551154,-0.00391491492472318,0.00187003679078836
"Pre-COVID (2017-2019)","55 years and over","Agriculture",2.51985177342509,4.79193971166448,0.00748667736053603,0.00361389680678707,0.0141584819382611,-0.0126107403365533,0.00154774160170779
"Pre-COVID (2017-2019)","55 years and over","Utilities",0.55337119557303,0,0.00181439962713255,0.000571628009002771,0.000343857008074354,0.000660179482839248,0.0010040364909136
